                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    134,                 1.0288,                 1.6108,                 1.3946,                0.46578,                0.43452,                0.40878,                0.28937,                 1.1557,                 1.8347,                 1.4603,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.0347,                 1.6101,                 1.3986,                0.46975,                0.43332,                0.40893,                0.28974,                 1.1547,                 1.8344,                 1.4593,               0.003367,               0.003367,               0.003367
                    136,                 1.0358,                  1.608,                  1.403,                0.46881,                0.43364,                0.40901,                0.29005,                 1.1549,                 1.8341,                 1.4593,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.0204,                 1.6006,                 1.3903,                0.46976,                0.43299,                0.40955,                0.28971,                 1.1551,                  1.834,                 1.4592,               0.003268,               0.003268,               0.003268
                    138,                  1.021,                 1.5864,                 1.3881,                0.45501,                0.43788,                0.40857,                0.28972,                  1.155,                 1.8343,                  1.459,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.0207,                 1.5673,                 1.3869,                0.47409,                0.42101,                0.40874,                0.29003,                 1.1555,                 1.8332,                 1.4595,               0.003169,               0.003169,               0.003169
                    140,                 1.0329,                 1.5678,                   1.39,                0.47664,                0.42177,                0.40907,                0.28967,                 1.1555,                 1.8334,                 1.4596,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.0174,                 1.5751,                 1.3852,                0.47596,                0.41999,                0.40911,                0.28993,                 1.1554,                  1.833,                 1.4599,                0.00307,                0.00307,                0.00307
                    142,                 1.0201,                 1.5805,                 1.3871,                0.47624,                0.42069,                0.40911,                0.28962,                 1.1555,                 1.8326,                 1.4598,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.0177,                 1.5661,                 1.3888,                0.47925,                0.42133,                0.40905,                0.28957,                 1.1558,                 1.8324,                 1.4601,               0.002971,               0.002971,               0.002971
                    144,                 1.0139,                 1.5478,                 1.3825,                0.47653,                0.41946,                 0.4091,                0.28957,                 1.1559,                 1.8318,                 1.4602,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.0294,                 1.5707,                 1.3919,                0.47496,                0.41843,                0.40924,                 0.2897,                  1.156,                 1.8316,                 1.4603,               0.002872,               0.002872,               0.002872
